actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-03-16T17:10:58.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-16T17:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-16T17:11:05.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612742,0,0,2025-03-16T17:11:05Z,40000,False,,,0,,Jump Ball K. Edwards vs. G. Yabusele: Tip to Team (DAL),"[1630556, 1627824]",1610612742.0,DAL,startperiod,Team (DAL),Edwards,1630556.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2025-03-16T17:11:23.1Z,1,REGULAR,foul,personal,['2freethrow'],1629656,,,1610612742,0,0,2025-03-16T17:11:30Z,80000,False,,,0,,Q. Grimes shooting personal FOUL (1 PF) (Washington 2 FT),"[1629656, 1629023]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,202056.0,1.0,0.0,Grimes,Q. Grimes,Washington,1629023.0,,,,,,,,,,,,,,,,
10,PT11M47.00S,2025-03-16T17:11:47.0Z,1,REGULAR,freethrow,1 of 2,[],1629023,,,1610612742,1,0,2025-03-16T17:11:47Z,100000,False,,,0,,P. Washington Free Throw 1 of 2 (1 PTS),[1629023],1610612742.0,DAL,,,,,,,,,,,,Washington,P. Washington,,,Made,1.0,,,,,,,,,,,,,,
11,PT11M47.00S,2025-03-16T17:12:04.2Z,1,REGULAR,freethrow,2 of 2,[],1629023,,,1610612742,2,0,2025-03-16T17:12:04Z,110000,False,,,0,,P. Washington Free Throw 2 of 2 (2 PTS),[1629023],1610612742.0,DAL,,,,,,,,,,,,Washington,P. Washington,,,Made,2.0,,,,,,,,,,,,,,
12,PT11M28.00S,2025-03-16T17:12:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629656,7.835085413929041,44.85294117647059,1610612755,2,2,2025-03-16T17:12:29Z,120000,False,26.0,21.0,1,left,Q. Grimes driving finger roll Layup (2 PTS),[1629656],1610612755.0,PHI,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Grimes,Q. Grimes,,,Made,2.0,3.33,,,,,,,,,,,,,
13,PT11M14.00S,2025-03-16T17:12:40.1Z,1,REGULAR,3pt,Jump Shot,[],1630230,91.32720105124835,97.08180147058823,1610612742,2,2,2025-03-16T17:12:48Z,130000,False,235.0,29.0,1,right,MISS N. Marshall 3PT,[1630230],1610612742.0,DAL,,,,,,,Right Corner 3,24+ Right,,,,Marshall,N. Marshall,,,Missed,,23.72,,,,,,,,,,,,,
14,PT11M10.00S,2025-03-16T17:12:44.1Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,2,2,2025-03-16T17:12:48Z,140000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,,,Yabusele,G. Yabusele,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M00.00S,2025-03-16T17:12:54.1Z,1,REGULAR,2pt,Jump Shot,[],1642348,19.92444152431012,27.205882352941174,1610612755,2,4,2025-03-16T17:12:57Z,150000,False,114.0,135.0,1,left,J. Edwards 17' pullup Jump Shot (2 PTS) (J. Butler 1 AST),"[1642348, 1630215]",1610612755.0,PHI,pullup,,,,,,Mid-Range,16-24 Right Center,,,,Edwards,J. Edwards,,,Made,2.0,17.65,,,,,J. Butler,1630215.0,1.0,,,,,,
17,PT10M41.00S,2025-03-16T17:13:12.7Z,1,REGULAR,foul,personal,['2freethrow'],1642348,,,1610612742,2,4,2025-03-16T17:13:23Z,170000,False,,,0,,J. Edwards shooting personal FOUL (1 PF) (Washington 2 FT),"[1642348, 1629023]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,2530.0,1.0,0.0,Edwards,J. Edwards,Washington,1629023.0,,,,,,,,,,,,,,,,
19,PT10M41.00S,2025-03-16T17:13:41.6Z,1,REGULAR,freethrow,1 of 2,[],1629023,,,1610612742,3,4,2025-03-16T17:13:41Z,190000,False,,,0,,P. Washington Free Throw 1 of 2 (3 PTS),[1629023],1610612742.0,DAL,,,,,,,,,,,,Washington,P. Washington,,,Made,3.0,,,,,,,,,,,,,,
20,PT10M41.00S,2025-03-16T17:13:57.6Z,1,REGULAR,freethrow,2 of 2,[],1629023,,,1610612742,4,4,2025-03-16T17:13:57Z,200000,False,,,0,,P. Washington Free Throw 2 of 2 (4 PTS),[1629023],1610612742.0,DAL,,,,,,,,,,,,Washington,P. Washington,,,Made,4.0,,,,,,,,,,,,,,
21,PT10M21.00S,2025-03-16T17:14:22.0Z,1,REGULAR,3pt,Jump Shot,[],1627824,11.251642575558476,3.9215686274509802,1610612755,4,4,2025-03-16T17:14:27Z,210000,False,230.0,53.0,1,left,MISS G. Yabusele 3PT,[1627824],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,,,Yabusele,G. Yabusele,,,Missed,,23.65,,,,,,,,,,,,,
22,PT10M17.00S,2025-03-16T17:14:26.0Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612742,4,4,2025-03-16T17:14:27Z,220000,False,,,0,,K. Edwards REBOUND (Off:0 Def:1),[1630556],1610612742.0,DAL,,,,,,,Right Corner 3,24+ Right,,,,Edwards,K. Edwards,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,
23,PT10M11.00S,2025-03-16T17:14:32.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629023,69.50969119579501,46.85968137254902,1610612742,6,4,2025-03-16T17:15:00Z,230000,False,-16.0,234.0,1,right,P. Washington 23' running pullup Jump Shot (6 PTS),[1629023],1610612742.0,DAL,running pullup,,,,,,Mid-Range,16-24 Center,,,,Washington,P. Washington,,,Made,6.0,23.46,,,,,,,,,,,,,
24,PT09M55.00S,2025-03-16T17:14:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641741,13.87976346911958,47.30392156862745,1610612755,6,6,2025-03-16T17:14:51Z,240000,False,13.0,78.0,1,left,R. Council IV 7' turnaround Jump Shot (2 PTS),[1641741],1610612755.0,PHI,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,,,,Council IV,R. Council IV,,,Made,2.0,7.92,,,,,,,,,,,,,
25,PT09M36.00S,2025-03-16T17:15:06.2Z,1,REGULAR,3pt,Jump Shot,[],202691,75.90341655716163,12.990196078431374,1610612742,6,6,2025-03-16T17:15:10Z,250000,False,-185.0,174.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Thompson,K. Thompson,,,Missed,,25.4,,,,,,,,,,,,,
26,PT09M34.00S,2025-03-16T17:15:08.2Z,1,REGULAR,rebound,defensive,[],1641741,,,1610612755,6,6,2025-03-16T17:15:30Z,260000,False,,,0,,R. Council IV REBOUND (Off:0 Def:1),[1641741],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Council IV,R. Council IV,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,
27,PT09M28.00S,2025-03-16T17:15:16.6Z,1,REGULAR,foul,personal,[],202691,,,1610612755,6,6,2025-03-16T17:15:44Z,270000,False,,,0,,K. Thompson personal FOUL (1 PF),"[202691, 1627824]",1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,2530.0,1.0,0.0,Thompson,K. Thompson,Yabusele,1627824.0,,,,,,,,,,,,,,,,
29,PT09M19.00S,2025-03-16T17:15:42.0Z,1,REGULAR,2pt,Jump Shot,[],1629656,15.850854139290407,76.9607843137255,1610612755,6,8,2025-03-16T17:15:49Z,290000,False,-135.0,96.0,1,left,Q. Grimes 16' pullup Jump Shot (4 PTS),[1629656],1610612755.0,PHI,pullup,,,,,,Mid-Range,16-24 Left,,,,Grimes,Q. Grimes,,,Made,4.0,16.58,,,,,,,,,,,,,
30,PT09M01.00S,2025-03-16T17:15:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,81.42247043363994,63.970588235294116,1610612742,6,8,2025-03-16T17:16:18Z,300000,False,70.0,122.0,1,right,MISS K. Thompson 14' step back Shot - blocked,"[202691, 1641741]",1610612742.0,DAL,step back,,,,,,In The Paint (Non-RA),8-16 Center,,,,Thompson,K. Thompson,,,Missed,,14.07,,,,,,,,Council IV,1641741.0,,,,
31,PT09M01.00S,2025-03-16T17:15:59.0Z,1,REGULAR,block,,[],1641741,,,1610612742,6,8,2025-03-16T17:16:00Z,310000,False,,,0,,R. Council IV BLOCK (1 BLK),[1641741],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,,
32,PT09M00.00S,2025-03-16T17:16:00.0Z,1,REGULAR,rebound,defensive,[],1641741,,,1610612755,6,8,2025-03-16T17:16:03Z,320000,False,,,0,,R. Council IV REBOUND (Off:0 Def:2),[1641741],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Council IV,R. Council IV,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,
33,PT08M55.00S,2025-03-16T17:16:05.6Z,1,REGULAR,3pt,Jump Shot,[],1627824,31.35676741130092,32.1078431372549,1610612755,6,11,2025-03-16T17:20:25Z,330000,False,89.0,242.0,1,left,G. Yabusele 25' 3PT  (3 PTS) (J. Butler 2 AST),"[1627824, 1630215]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,Yabusele,G. Yabusele,,,Made,3.0,25.83,,,,,J. Butler,1630215.0,2.0,,,,,,
35,PT08M40.00S,2025-03-16T17:16:20.5Z,1,REGULAR,3pt,Jump Shot,[],1629023,67.62483574244416,41.42156862745098,1610612742,6,11,2025-03-16T17:16:24Z,350000,False,-43.0,252.0,1,right,MISS P. Washington 25' 3PT,[1629023],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,,,,Washington,P. Washington,,,Missed,,25.54,,,,,,,,,,,,,
36,PT08M38.00S,2025-03-16T17:16:22.5Z,1,REGULAR,rebound,defensive,[],1641741,,,1610612755,6,11,2025-03-16T17:16:24Z,360000,False,,,0,,R. Council IV REBOUND (Off:0 Def:3),[1641741],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,,Council IV,R. Council IV,,,,,,35.0,3.0,3.0,0.0,,,,,,,,,
37,PT08M28.00S,2025-03-16T17:16:32.8Z,1,REGULAR,3pt,Jump Shot,[],1642348,15.982260183968464,94.85294117647058,1610612755,6,11,2025-03-16T17:16:36Z,370000,False,-224.0,98.0,1,left,MISS J. Edwards 24' 3PT,[1642348],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Edwards,J. Edwards,,,Missed,,24.47,,,,,,,,,,,,,
38,PT08M25.00S,2025-03-16T17:16:35.8Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,6,11,2025-03-16T17:16:36Z,380000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Washington,P. Washington,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,
39,PT08M16.00S,2025-03-16T17:16:44.3Z,1,REGULAR,3pt,Jump Shot,[],1630314,87.91064388961892,4.189644607843137,1610612742,6,11,2025-03-16T17:17:56Z,390000,False,-229.0,61.0,1,right,MISS B. Williams pullup 3PT,[1630314],1610612742.0,DAL,pullup,,,,,,Left Corner 3,24+ Left,,,,Williams,B. Williams,,,Missed,,23.71,,,,,,,,,,,,,
40,PT08M13.00S,2025-03-16T17:16:47.3Z,1,REGULAR,rebound,defensive,[],1642348,,,1610612755,6,11,2025-03-16T17:16:51Z,400000,False,,,0,,J. Edwards REBOUND (Off:0 Def:1),[1642348],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,,,Edwards,J. Edwards,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,
41,PT08M07.00S,2025-03-16T17:16:54.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629656,22.28975032851511,91.91176470588235,1610612755,6,11,2025-03-16T17:18:29Z,410000,False,-210.0,157.0,1,left,MISS Q. Grimes 26' running pullup 3PT,[1629656],1610612755.0,PHI,running pullup,,,,,,Above the Break 3,24+ Left Center,,,,Grimes,Q. Grimes,,,Missed,,26.19,,,,,,,,,,,,,
42,PT08M03.00S,2025-03-16T17:16:58.2Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,6,11,2025-03-16T17:16:58Z,420000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Washington,P. Washington,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,
43,PT07M58.00S,2025-03-16T17:17:01.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202691,92.85479632063075,50.73529411764706,1610612742,8,11,2025-03-16T17:17:12Z,430000,False,4.0,15.0,1,right,K. Thompson running finger roll Layup (2 PTS),[202691],1610612742.0,DAL,running finger roll,,,,,,Restricted Area,0-8 Center,,,,Thompson,K. Thompson,,,Made,2.0,1.52,,,,,,,,,,,,,
44,PT07M41.00S,2025-03-16T17:17:19.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627824,8.623521681997373,49.01960784313725,1610612755,8,13,2025-03-16T17:17:25Z,440000,False,5.0,29.0,1,left,G. Yabusele cutting DUNK (5 PTS) (J. Butler 3 AST),"[1627824, 1630215]",1610612755.0,PHI,cutting,,,,,,Restricted Area,0-8 Center,,,,Yabusele,G. Yabusele,,,Made,5.0,2.9,,,,,J. Butler,1630215.0,3.0,,,,,,
46,PT07M25.00S,2025-03-16T17:17:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,92.46057818659659,53.431372549019606,1610612742,10,13,2025-03-16T17:19:42Z,460000,False,17.0,18.0,1,right,N. Marshall driving finger roll Layup (2 PTS),[1630230],1610612742.0,DAL,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Marshall,N. Marshall,,,Made,2.0,2.52,,,,,,,,,,,,,
47,PT07M07.00S,2025-03-16T17:17:53.0Z,1,REGULAR,2pt,Jump Shot,[],1627824,11.514454664914586,19.11764705882353,1610612755,10,13,2025-03-16T17:17:58Z,470000,False,154.0,56.0,1,left,MISS G. Yabusele 16' Jump Shot,[1627824],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Right,,,,Yabusele,G. Yabusele,,,Missed,,16.41,,,,,,,,,,,,,
48,PT07M05.00S,2025-03-16T17:17:55.0Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,10,13,2025-03-16T17:17:58Z,480000,False,,,0,,P. Washington REBOUND (Off:0 Def:3),[1629023],1610612742.0,DAL,,,,,,,Mid-Range,16-24 Right,,,,Washington,P. Washington,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,
49,PT06M59.00S,2025-03-16T17:18:01.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629023,92.9862023653088,49.50980392156863,1610612742,12,13,2025-03-16T17:18:08Z,490000,False,-2.0,13.0,1,right,P. Washington running DUNK (8 PTS),[1629023],1610612742.0,DAL,running,,,,,,Restricted Area,0-8 Center,,,,Washington,P. Washington,,,Made,8.0,1.36,,,,,,,,,,,,,
50,PT06M50.00S,2025-03-16T17:18:10.4Z,1,REGULAR,turnover,lost ball,[],1629656,,,1610612755,12,13,2025-03-16T17:18:16Z,500000,False,,,0,,Q. Grimes lost ball TURNOVER (1 TO),"[1629656, 1629023]",1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,1.0,Washington,1629023.0,
51,PT06M50.00S,2025-03-16T17:18:10.4Z,1,REGULAR,steal,,[],1629023,,,1610612742,12,13,2025-03-16T17:19:27Z,510000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,
52,PT06M47.00S,2025-03-16T17:18:14.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629023,93.77463863337714,51.71568627450981,1610612742,14,13,2025-03-16T17:18:20Z,520000,False,9.0,6.0,1,right,P. Washington running DUNK (10 PTS) (B. Williams 1 AST),"[1629023, 1630314]",1610612742.0,DAL,running,,,,,,Restricted Area,0-8 Center,,,,Washington,P. Washington,,,Made,10.0,1.05,,,,,B. Williams,1630314.0,1.0,,,,,,
54,PT06M45.00S,2025-03-16T17:18:19.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,14,13,2025-03-16T17:18:19Z,540000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M45.00S,2025-03-16T17:18:34.8Z,1,REGULAR,substitution,out,[],1630230,,,1610612755,14,13,2025-03-16T17:21:09Z,550000,False,,,0,,SUB out: N. Marshall,[1630230],1610612742.0,DAL,,,,,,,,,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,
56,PT06M45.00S,2025-03-16T17:18:34.8Z,1,REGULAR,substitution,out,[],1630556,,,1610612755,14,13,2025-03-16T17:21:09Z,560000,False,,,0,,SUB out: K. Edwards,[1630556],1610612742.0,DAL,,,,,,,,,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,
57,PT06M45.00S,2025-03-16T17:18:34.8Z,1,REGULAR,substitution,out,[],1641741,,,1610612755,14,13,2025-03-16T17:21:09Z,570000,False,,,0,,SUB out: R. Council IV,[1641741],1610612755.0,PHI,,,,,,,,,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,,
58,PT06M45.00S,2025-03-16T17:18:34.8Z,1,REGULAR,substitution,out,[],1642348,,,1610612755,14,13,2025-03-16T17:21:09Z,580000,False,,,0,,SUB out: J. Edwards,[1642348],1610612755.0,PHI,,,,,,,,,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,
59,PT06M45.00S,2025-03-16T17:18:34.8Z,1,REGULAR,substitution,in,[],203915,,,1610612755,14,13,2025-03-16T17:21:09Z,590000,False,,,0,,SUB in: S. Dinwiddie,[203915],1610612742.0,DAL,,,,,,,,,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,
60,PT06M45.00S,2025-03-16T17:18:34.8Z,1,REGULAR,substitution,in,[],203939,,,1610612755,14,13,2025-03-16T17:21:09Z,600000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,,,,,,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,
61,PT06M45.00S,2025-03-16T17:18:34.8Z,1,REGULAR,substitution,in,[],1641720,,,1610612755,14,13,2025-03-16T17:21:09Z,610000,False,,,0,,SUB in: J. Hood-Schifino,[1641720],1610612755.0,PHI,,,,,,,,,,,,Hood-Schifino,J. Hood-Schifino,,,,,,,,,,,,,,,,,,
62,PT06M45.00S,2025-03-16T17:18:34.8Z,1,REGULAR,substitution,in,[],1629052,,,1610612755,14,13,2025-03-16T17:21:09Z,620000,False,,,0,,SUB in: O. Brissett,[1629052],1610612755.0,PHI,,,,,,,,,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,
64,PT06M24.00S,2025-03-16T17:21:42.0Z,1,REGULAR,3pt,Jump Shot,[],1641720,29.6484888304862,75.24509803921569,1610612755,14,16,2025-03-16T17:22:10Z,640000,False,-126.0,226.0,1,left,J. Hood-Schifino 25' 3PT step back (3 PTS),[1641720],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Left Center,,,,Hood-Schifino,J. Hood-Schifino,,,Made,3.0,25.9,,,,,,,,,,,,,
65,PT06M00.00S,2025-03-16T17:22:05.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,92.85479632063075,44.85294117647059,1610612742,16,16,2025-03-16T17:22:24Z,650000,False,-26.0,15.0,1,right,P. Washington driving finger roll Layup (12 PTS),[1629023],1610612742.0,DAL,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Washington,P. Washington,,,Made,12.0,2.96,,,,,,,,,,,,,
66,PT05M39.00S,2025-03-16T17:22:25.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630215,8.229303547963205,58.82352941176471,1610612755,16,16,2025-03-16T17:22:43Z,660000,False,-44.0,25.0,1,left,MISS J. Butler driving floating Shot,[1630215],1610612755.0,PHI,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Butler,J. Butler,,,Missed,,5.06,,,,,,,,,,,,,
67,PT05M36.00S,2025-03-16T17:22:28.6Z,1,REGULAR,rebound,offensive,[],1629052,,,1610612755,16,16,2025-03-16T17:22:30Z,670000,False,,,0,,O. Brissett REBOUND (Off:1 Def:0),[1629052],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Brissett,O. Brissett,,,,,,66.0,1.0,0.0,1.0,,,,,,,,,
68,PT05M36.00S,2025-03-16T17:22:29.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629052,5.590000152587891,50.0,1610612755,16,18,2025-03-16T17:22:29Z,680000,False,0.0,0.0,1,left,O. Brissett putback Layup (2 PTS),[1629052],1610612755.0,PHI,putback,,,,,,Mid-Range,8-16 Left,,,,Brissett,O. Brissett,,,Made,2.0,0.0,,,,,,,,,,,,,
69,PT05M29.00S,2025-03-16T17:22:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630314,91.93495400788436,54.65686274509803,1610612742,18,18,2025-03-16T17:22:42Z,690000,False,23.0,23.0,1,right,B. Williams driving finger roll Layup (2 PTS),[1630314],1610612742.0,DAL,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Williams,B. Williams,,,Made,2.0,3.3,,,,,,,,,,,,,
70,PT05M29.00S,2025-03-16T17:22:43.9Z,1,REGULAR,foul,personal,['1freethrow'],1630215,,,1610612742,18,18,2025-03-16T17:23:18Z,700000,False,,,0,,J. Butler shooting personal FOUL (1 PF) (Williams 1 FT),"[1630215, 1630314]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,1155.0,1.0,0.0,Butler,J. Butler,Williams,1630314.0,,,,,,,,,,,,,,,,
72,PT05M29.00S,2025-03-16T17:22:50.0Z,1,REGULAR,substitution,out,[],202691,,,1610612742,18,18,2025-03-16T17:22:57Z,720000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,,,,,,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,
