actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
147,PT11M37.00S,2025-03-16T17:36:44.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1641720,9.280551905387648,53.431372549019606,1610612755,32,36,2025-03-16T17:37:18Z,1470000,False,-17.0,35.0,1,left,MISS J. Hood-Schifino driving Hook,[1641720],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,,,,Hood-Schifino,J. Hood-Schifino,,,Missed,,3.87,,,,,,,,,,,,,
148,PT11M36.00S,2025-03-16T17:36:45.0Z,2,REGULAR,rebound,defensive,[],203915,,,1610612742,32,36,2025-03-16T17:36:58Z,1480000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,,,Dinwiddie,S. Dinwiddie,,,,,,147.0,1.0,1.0,0.0,,,,,,,,,
149,PT11M32.00S,2025-03-16T17:36:48.8Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630230,88.78120893561103,40.931372549019606,1610612742,34,36,2025-03-16T17:37:53Z,1490000,False,-45.0,53.0,1,right,N. Marshall 6' driving floating bank Jump Shot (7 PTS),[1630230],1610612742.0,DAL,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,,,,Marshall,N. Marshall,,,Made,7.0,6.97,,,,,,,,,,,,,
150,PT11M23.00S,2025-03-16T17:36:59.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630288,7.5722733245729295,51.470588235294116,1610612755,34,38,2025-03-16T17:38:10Z,1500000,False,-7.0,19.0,1,left,J. Dowtin Jr. driving finger roll Layup (4 PTS),[1630288],1610612755.0,PHI,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Dowtin Jr.,J. Dowtin Jr.,,,Made,4.0,2.01,,,,,,,,,,,,,
151,PT11M23.00S,2025-03-16T17:37:02.3Z,2,REGULAR,foul,personal,['1freethrow'],1630314,,,1610612755,34,38,2025-03-16T17:37:09Z,1510000,False,,,0,,B. Williams shooting personal FOUL (1 PF) (Dowtin Jr. 1 FT),"[1630314, 1630288]",1610612742.0,DAL,shooting,,,,,,Restricted Area,0-8 Center,202056.0,1.0,0.0,Williams,B. Williams,Dowtin Jr.,1630288.0,,,,,,,,,,,,,,,,
153,PT11M23.00S,2025-03-16T17:37:24.8Z,2,REGULAR,freethrow,1 of 1,[],1630288,,,1610612755,34,38,2025-03-16T17:37:24Z,1530000,False,,,0,,MISS J. Dowtin Jr. Free Throw 1 of 1,[1630288],1610612755.0,PHI,,,,,,,,,,,,Dowtin Jr.,J. Dowtin Jr.,,,Missed,,,,,,,,,,,,,,,
154,PT11M21.00S,2025-03-16T17:37:26.1Z,2,REGULAR,rebound,defensive,[],1630230,,,1610612742,34,38,2025-03-16T17:37:26Z,1540000,False,,,0,,N. Marshall REBOUND (Off:1 Def:2),[1630230],1610612742.0,DAL,,,,,,,,,,,,Marshall,N. Marshall,,,,,,153.0,3.0,2.0,1.0,,,,,,,,,
155,PT11M16.00S,2025-03-16T17:37:30.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631108,91.19579500657031,3.944546568627451,1610612742,37,38,2025-03-16T17:38:31Z,1550000,False,-230.0,30.0,1,right,M. Christie 3PT running (5 PTS) (S. Dinwiddie 2 AST),"[1631108, 203915]",1610612742.0,DAL,running,,,,,,Left Corner 3,24+ Left,,,,Christie,M. Christie,,,Made,5.0,23.23,,,,,S. Dinwiddie,203915.0,2.0,,,,,,
157,PT10M59.00S,2025-03-16T17:37:50.4Z,2,REGULAR,turnover,out-of-bounds,[],1630288,,,1610612755,37,38,2025-03-16T17:37:55Z,1570000,False,,,0,,J. Dowtin Jr. step out-of-bounds TURNOVER (1 TO),[1630288],1610612755.0,PHI,step,,,,,,Mid-Range,16-24 Left,202056.0,,,Dowtin Jr.,J. Dowtin Jr.,,,,,,,,,,,,,,,1.0,,,
158,PT10M59.00S,2025-03-16T17:37:53.8Z,2,REGULAR,substitution,out,[],1641720,,,1610612742,37,38,2025-03-16T17:38:00Z,1580000,False,,,0,,SUB out: J. Hood-Schifino,[1641720],1610612755.0,PHI,,,,,,,,,,,,Hood-Schifino,J. Hood-Schifino,,,,,,,,,,,,,,,,,,
159,PT10M59.00S,2025-03-16T17:37:53.8Z,2,REGULAR,substitution,out,[],1642024,,,1610612742,37,38,2025-03-16T17:38:00Z,1590000,False,,,0,,SUB out: A. Reese,[1642024],1610612755.0,PHI,,,,,,,,,,,,Reese,A. Reese,,,,,,,,,,,,,,,,,,
160,PT10M59.00S,2025-03-16T17:37:53.8Z,2,REGULAR,substitution,in,[],1642348,,,1610612742,37,38,2025-03-16T17:38:00Z,1600000,False,,,0,,SUB in: J. Edwards,[1642348],1610612755.0,PHI,,,,,,,,,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,
161,PT10M59.00S,2025-03-16T17:37:53.8Z,2,REGULAR,substitution,in,[],1641741,,,1610612742,37,38,2025-03-16T17:38:00Z,1610000,False,,,0,,SUB in: R. Council IV,[1641741],1610612755.0,PHI,,,,,,,,,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,,
162,PT10M49.00S,2025-03-16T17:38:19.2Z,2,REGULAR,foul,personal,['2freethrow'],1642348,,,1610612742,37,38,2025-03-16T17:38:32Z,1620000,False,,,0,,J. Edwards shooting personal FOUL (2 PF) (Dinwiddie 2 FT),"[1642348, 203915]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,202056.0,2.0,0.0,Edwards,J. Edwards,Dinwiddie,203915.0,,,,,,,,,,,,,,,,
164,PT10M49.00S,2025-03-16T17:38:42.9Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],203915,,,1610612742,38,38,2025-03-16T17:38:42Z,1640000,False,,,0,,S. Dinwiddie Free Throw 1 of 2 (1 PTS),[203915],1610612742.0,DAL,,,,,,,,,,,,Dinwiddie,S. Dinwiddie,,,Made,1.0,,,,,,,,,,,,,,
165,PT10M49.00S,2025-03-16T17:38:55.5Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],203915,,,1610612742,39,38,2025-03-16T17:38:55Z,1650000,False,,,0,,S. Dinwiddie Free Throw 2 of 2 (2 PTS),[203915],1610612742.0,DAL,,,,,,,,,,,,Dinwiddie,S. Dinwiddie,,,Made,2.0,,,,,,,,,,,,,,
166,PT10M34.00S,2025-03-16T17:39:12.1Z,2,REGULAR,3pt,Jump Shot,[],1629643,23.209592641261498,11.519607843137255,1610612755,39,38,2025-03-16T17:39:18Z,1660000,False,192.0,166.0,1,left,MISS C. Okeke 25' 3PT,[1629643],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,Okeke,C. Okeke,,,Missed,,25.39,,,,,,,,,,,,,
167,PT10M31.00S,2025-03-16T17:39:15.1Z,2,REGULAR,rebound,defensive,[],1630556,,,1610612742,39,38,2025-03-16T17:39:18Z,1670000,False,,,0,,K. Edwards REBOUND (Off:0 Def:2),[1630556],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Right Center,,,,Edwards,K. Edwards,,,,,,166.0,2.0,2.0,0.0,,,,,,,,,
168,PT10M17.00S,2025-03-16T17:39:28.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630314,92.19776609724047,49.50980392156863,1610612742,41,38,2025-03-16T17:40:17Z,1680000,False,-2.0,21.0,1,right,B. Williams driving Layup (5 PTS),[1630314],1610612742.0,DAL,driving,,,,,,Restricted Area,0-8 Center,,,,Williams,B. Williams,,,Made,5.0,2.09,,,,,,,,,,,,,
170,PT10M01.00S,2025-03-16T17:39:44.5Z,2,REGULAR,3pt,Jump Shot,[],1641741,19.004599211563733,95.09803921568627,1610612755,41,38,2025-03-16T17:39:48Z,1700000,False,-225.0,126.0,1,left,MISS R. Council IV 25' 3PT,[1641741],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Council IV,R. Council IV,,,Missed,,25.84,,,,,,,,,,,,,
171,PT09M59.00S,2025-03-16T17:39:46.5Z,2,REGULAR,rebound,defensive,[],1630556,,,1610612742,41,38,2025-03-16T17:39:48Z,1710000,False,,,0,,K. Edwards REBOUND (Off:0 Def:3),[1630556],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Edwards,K. Edwards,,,,,,170.0,3.0,3.0,0.0,,,,,,,,,
175,PT09M56.00S,2025-03-16T17:40:06.4Z,2,REGULAR,foul,personal,['2freethrow'],1629052,,,1610612742,41,38,2025-03-16T17:42:10Z,1750000,False,,,0,,O. Brissett shooting personal FOUL (1 PF) (Marshall 2 FT),"[1629052, 1630230]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,1155.0,1.0,0.0,Brissett,O. Brissett,Marshall,1630230.0,,,,,,,,,,,,,,,,
177,PT09M56.00S,2025-03-16T17:40:24.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,41,38,2025-03-16T17:40:24Z,1770000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT09M56.00S,2025-03-16T17:43:23.3Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1630230,,,1610612742,41,38,2025-03-16T17:43:23Z,1800000,False,,,0,,MISS N. Marshall Free Throw 1 of 2,[1630230],1610612742.0,DAL,,,,,,,,,,,,Marshall,N. Marshall,,,Missed,,,,,,,,,,,,,,,
181,PT09M56.00S,2025-03-16T17:43:23.3Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,41,38,2025-03-16T17:43:23Z,1810000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,
182,PT09M56.00S,2025-03-16T17:43:35.6Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1630230,,,1610612742,42,38,2025-03-16T17:43:35Z,1820000,False,,,0,,N. Marshall Free Throw 2 of 2 (8 PTS),[1630230],1610612742.0,DAL,,,,,,,,,,,,Marshall,N. Marshall,,,Made,8.0,,,,,,,,,,,,,,
183,PT09M43.00S,2025-03-16T17:43:50.6Z,2,REGULAR,3pt,Jump Shot,[],1642348,19.267411300919843,92.40196078431373,1610612755,42,38,2025-03-16T17:43:55Z,1830000,False,-212.0,129.0,1,left,MISS J. Edwards 24' 3PT,[1642348],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Edwards,J. Edwards,,,Missed,,24.8,,,,,,,,,,,,,
184,PT09M39.00S,2025-03-16T17:43:54.6Z,2,REGULAR,rebound,defensive,[],1631108,,,1610612742,42,38,2025-03-16T17:43:55Z,1840000,False,,,0,,M. Christie REBOUND (Off:0 Def:3),[1631108],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Christie,M. Christie,,,,,,183.0,3.0,3.0,0.0,,,,,,,,,
185,PT09M35.00S,2025-03-16T17:43:58.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630314,90.62089356110381,55.63725490196079,1610612742,44,38,2025-03-16T17:44:05Z,1850000,False,28.0,36.0,1,right,B. Williams running Layup (7 PTS),[1630314],1610612742.0,DAL,running,,,,,,In The Paint (Non-RA),0-8 Center,,,,Williams,B. Williams,,,Made,7.0,4.55,,,,,,,,,,,,,
186,PT09M18.00S,2025-03-16T17:44:16.5Z,2,REGULAR,foul,personal,['2freethrow'],1630556,,,1610612755,44,38,2025-03-16T17:44:28Z,1860000,False,,,0,,K. Edwards shooting personal FOUL (1 PF) (Dowtin Jr. 2 FT),"[1630556, 1630288]",1610612742.0,DAL,shooting,,,,,,Restricted Area,0-8 Center,1155.0,1.0,0.0,Edwards,K. Edwards,Dowtin Jr.,1630288.0,,,,,,,,,,,,,,,,
188,PT09M18.00S,2025-03-16T17:44:47.1Z,2,REGULAR,freethrow,1 of 2,[],1630288,,,1610612755,44,39,2025-03-16T17:44:47Z,1880000,False,,,0,,J. Dowtin Jr. Free Throw 1 of 2 (5 PTS),[1630288],1610612755.0,PHI,,,,,,,,,,,,Dowtin Jr.,J. Dowtin Jr.,,,Made,5.0,,,,,,,,,,,,,,
189,PT09M18.00S,2025-03-16T17:45:09.1Z,2,REGULAR,freethrow,2 of 2,[],1630288,,,1610612755,44,40,2025-03-16T17:45:09Z,1890000,False,,,0,,J. Dowtin Jr. Free Throw 2 of 2 (6 PTS),[1630288],1610612755.0,PHI,,,,,,,,,,,,Dowtin Jr.,J. Dowtin Jr.,,,Made,6.0,,,,,,,,,,,,,,
191,PT08M58.00S,2025-03-16T17:45:42.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,80.28909329829173,38.223805147058826,1610612742,46,40,2025-03-16T17:45:50Z,1910000,False,-59.0,133.0,1,right,S. Dinwiddie 14' pullup Jump Shot (4 PTS),[203915],1610612742.0,DAL,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,,,Dinwiddie,S. Dinwiddie,,,Made,4.0,14.53,,,,,,,,,,,,,
192,PT08M41.00S,2025-03-16T17:45:59.8Z,2,REGULAR,3pt,Jump Shot,[],1629643,9.543363994743759,4.6568627450980395,1610612755,46,40,2025-03-16T17:46:04Z,1920000,False,227.0,37.0,1,left,MISS C. Okeke 3PT,[1629643],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,,,Okeke,C. Okeke,,,Missed,,22.97,,,,,,,,,,,,,
193,PT08M38.00S,2025-03-16T17:46:02.8Z,2,REGULAR,rebound,defensive,[],1630556,,,1610612742,46,40,2025-03-16T17:46:04Z,1930000,False,,,0,,K. Edwards REBOUND (Off:0 Def:4),[1630556],1610612742.0,DAL,,,,,,,Right Corner 3,24+ Right,,,,Edwards,K. Edwards,,,,,,192.0,4.0,4.0,0.0,,,,,,,,,
194,PT08M24.00S,2025-03-16T17:46:18.9Z,2,REGULAR,foul,personal,['2freethrow'],1630288,,,1610612742,46,40,2025-03-16T17:46:25Z,1940000,False,,,0,,J. Dowtin Jr. shooting personal FOUL (1 PF) (Williams 2 FT),"[1630288, 1630314]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,1155.0,1.0,0.0,Dowtin Jr.,J. Dowtin Jr.,Williams,1630314.0,,,,,,,,,,,,,,,,
196,PT08M24.00S,2025-03-16T17:46:49.1Z,2,REGULAR,freethrow,1 of 2,[],1630314,,,1610612742,47,40,2025-03-16T17:46:49Z,1960000,False,,,0,,B. Williams Free Throw 1 of 2 (8 PTS),[1630314],1610612742.0,DAL,,,,,,,,,,,,Williams,B. Williams,,,Made,8.0,,,,,,,,,,,,,,
197,PT08M24.00S,2025-03-16T17:46:49.6Z,2,REGULAR,substitution,out,[],1630288,,,1610612742,47,40,2025-03-16T17:47:04Z,1970000,False,,,0,,SUB out: J. Dowtin Jr.,[1630288],1610612755.0,PHI,,,,,,,,,,,,Dowtin Jr.,J. Dowtin Jr.,,,,,,,,,,,,,,,,,,
198,PT08M24.00S,2025-03-16T17:46:49.6Z,2,REGULAR,substitution,out,[],1629052,,,1610612742,47,40,2025-03-16T17:47:04Z,1980000,False,,,0,,SUB out: O. Brissett,[1629052],1610612755.0,PHI,,,,,,,,,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,
199,PT08M24.00S,2025-03-16T17:46:49.6Z,2,REGULAR,substitution,out,[],1629643,,,1610612742,47,40,2025-03-16T17:47:04Z,1990000,False,,,0,,SUB out: C. Okeke,[1629643],1610612755.0,PHI,,,,,,,,,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,
200,PT08M24.00S,2025-03-16T17:46:49.6Z,2,REGULAR,substitution,in,[],1629656,,,1610612742,47,40,2025-03-16T17:47:04Z,2000000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612755.0,PHI,,,,,,,,,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,
201,PT08M24.00S,2025-03-16T17:46:49.6Z,2,REGULAR,substitution,in,[],1627824,,,1610612742,47,40,2025-03-16T17:47:04Z,2010000,False,,,0,,SUB in: G. Yabusele,[1627824],1610612755.0,PHI,,,,,,,,,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,
202,PT08M24.00S,2025-03-16T17:46:49.6Z,2,REGULAR,substitution,in,[],1630215,,,1610612742,47,40,2025-03-16T17:47:04Z,2020000,False,,,0,,SUB in: J. Butler,[1630215],1610612755.0,PHI,,,,,,,,,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,
203,PT08M24.00S,2025-03-16T17:47:14.9Z,2,REGULAR,freethrow,2 of 2,[],1630314,,,1610612742,48,40,2025-03-16T17:47:14Z,2030000,False,,,0,,B. Williams Free Throw 2 of 2 (9 PTS),[1630314],1610612742.0,DAL,,,,,,,,,,,,Williams,B. Williams,,,Made,9.0,,,,,,,,,,,,,,
204,PT08M07.00S,2025-03-16T17:47:36.1Z,2,REGULAR,turnover,traveling,[],1627824,,,1610612755,48,40,2025-03-16T17:47:41Z,2040000,False,,,0,,G. Yabusele traveling TURNOVER (1 TO),[1627824],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,2530.0,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,1.0,,,
205,PT08M07.00S,2025-03-16T17:47:38.0Z,2,REGULAR,substitution,out,[],1630230,,,1610612742,48,40,2025-03-16T17:47:45Z,2050000,False,,,0,,SUB out: N. Marshall,[1630230],1610612742.0,DAL,,,,,,,,,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,
206,PT08M07.00S,2025-03-16T17:47:38.0Z,2,REGULAR,substitution,in,[],203939,,,1610612742,48,40,2025-03-16T17:47:45Z,2060000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,,,,,,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,
207,PT08M00.00S,2025-03-16T17:47:57.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203915,71.69842312746385,13.970588235294118,1610612742,48,40,2025-03-16T17:48:24Z,2070000,False,-180.0,214.0,1,right,MISS S. Dinwiddie 27' 3PT,[203915],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,,,Dinwiddie,S. Dinwiddie,,,Missed,,27.93,,,,,,,,,,,,,
208,PT07M56.00S,2025-03-16T17:48:01.0Z,2,REGULAR,rebound,defensive,[],1630215,,,1610612755,48,40,2025-03-16T17:48:04Z,2080000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[1630215],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Butler,J. Butler,,,,,,207.0,1.0,1.0,0.0,,,,,,,,,
209,PT07M54.00S,2025-03-16T17:48:04.9Z,2,REGULAR,foul,personal,[],1630556,,,1610612755,48,40,2025-03-16T17:48:19Z,2090000,False,,,0,,K. Edwards personal FOUL (2 PF),"[1630556, 1629656]",1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,2530.0,2.0,0.0,Edwards,K. Edwards,Grimes,1629656.0,,,,,,,,,,,,,,,,
211,PT07M40.00S,2025-03-16T17:48:31.9Z,2,REGULAR,2pt,Jump Shot,[],1642348,23.209592641261498,51.71568627450981,1610612755,48,42,2025-03-16T17:48:39Z,2110000,False,-9.0,166.0,1,left,J. Edwards 16' pullup Jump Shot (4 PTS) (Q. Grimes 2 AST),"[1642348, 1629656]",1610612755.0,PHI,pullup,,,,,,Mid-Range,16-24 Center,,,,Edwards,J. Edwards,,,Made,4.0,16.59,,,,,Q. Grimes,1629656.0,2.0,,,,,,
213,PT07M25.00S,2025-03-16T17:48:45.9Z,2,REGULAR,turnover,bad pass,[],1630314,,,1610612742,48,42,2025-03-16T17:48:49Z,2130000,False,,,0,,B. Williams bad pass TURNOVER (1 TO),"[1630314, 1642348]",1610612742.0,DAL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Williams,B. Williams,,,,,,,,,,,,,,,1.0,Edwards,1642348.0,
214,PT07M25.00S,2025-03-16T17:48:45.9Z,2,REGULAR,steal,,[],1642348,,,1610612755,48,42,2025-03-16T17:48:47Z,2140000,False,,,0,,J. Edwards STEAL (1 STL),[1642348],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,
215,PT07M19.00S,2025-03-16T17:48:51.9Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629656,31.09395532194481,30.14705882352941,1610612755,48,42,2025-03-16T17:49:31Z,2150000,False,99.0,240.0,1,left,MISS Q. Grimes 25' step back 3PT,[1629656],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Right Center,,,,Grimes,Q. Grimes,,,Missed,,25.95,,,,,,,,,,,,,
216,PT07M15.00S,2025-03-16T17:48:55.9Z,2,REGULAR,rebound,defensive,[],1631108,,,1610612742,48,42,2025-03-16T17:49:00Z,2160000,False,,,0,,M. Christie REBOUND (Off:0 Def:4),[1631108],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Right Center,,,,Christie,M. Christie,,,,,,215.0,4.0,4.0,0.0,,,,,,,,,
217,PT07M09.00S,2025-03-16T17:49:01.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203915,92.46057818659659,51.9607843137255,1610612742,50,42,2025-03-16T17:50:00Z,2170000,False,10.0,18.0,1,right,S. Dinwiddie driving finger roll Layup (6 PTS),[203915],1610612742.0,DAL,driving finger roll,,,,,,Restricted Area,0-8 Center,,,,Dinwiddie,S. Dinwiddie,,,Made,6.0,2.08,,,,,,,,,,,,,
218,PT07M03.00S,2025-03-16T17:49:09.6Z,2,REGULAR,turnover,traveling,[],1629656,,,1610612755,50,42,2025-03-16T17:49:15Z,2180000,False,,,0,,Q. Grimes traveling TURNOVER (2 TO),[1629656],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,2530.0,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,2.0,,,
219,PT07M03.00S,2025-03-16T17:49:11.3Z,2,REGULAR,substitution,out,[],1630314,,,1610612742,50,42,2025-03-16T17:49:23Z,2190000,False,,,0,,SUB out: B. Williams,[1630314],1610612742.0,DAL,,,,,,,,,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,
220,PT07M03.00S,2025-03-16T17:49:11.3Z,2,REGULAR,substitution,in,[],202691,,,1610612742,50,42,2025-03-16T17:49:23Z,2200000,False,,,0,,SUB in: K. Thompson,[202691],1610612742.0,DAL,,,,,,,,,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,
221,PT06M53.00S,2025-03-16T17:49:36.8Z,2,REGULAR,foul,personal,['2freethrow'],1630215,,,1610612742,50,42,2025-03-16T17:49:44Z,2210000,False,,,0,,J. Butler shooting personal FOUL (2 PF) (Christie 2 FT),"[1630215, 1631108]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,2530.0,2.0,0.0,Butler,J. Butler,Christie,1631108.0,,,,,,,,,,,,,,,,
223,PT06M53.00S,2025-03-16T17:50:04.8Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1631108,,,1610612742,50,42,2025-03-16T17:50:24Z,2230000,False,,,0,,MISS M. Christie Free Throw 1 of 2,[1631108],1610612742.0,DAL,,,,,,,,,,,,Christie,M. Christie,,,Missed,,,,,,,,,,,,,,,
224,PT06M53.00S,2025-03-16T17:50:04.8Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612742,50,42,2025-03-16T17:50:24Z,2240000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,223.0,,,,,,,,,,,,
225,PT06M53.00S,2025-03-16T17:50:04.8Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1631108,,,1610612742,50,42,2025-03-16T17:50:24Z,2250000,False,,,0,,MISS M. Christie Free Throw 2 of 2,[1631108],1610612742.0,DAL,,,,,,,,,,,,Christie,M. Christie,,,Missed,,,,,,,,,,,,,,,
226,PT06M51.00S,2025-03-16T17:50:06.8Z,2,REGULAR,rebound,defensive,[],1627824,,,1610612755,50,42,2025-03-16T17:50:24Z,2260000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:2),[1627824],1610612755.0,PHI,,,,,,,,,,,,Yabusele,G. Yabusele,,,,,,225.0,2.0,2.0,0.0,,,,,,,,,
