actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-23T01:10:52.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-23T01:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-23T01:10:53.7Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2026-01-23T01:10:53Z,40000,False,,,0,,Jump Ball R. Gobert vs. J. Smith: Tip to A. Edwards,"[1630162, 203497, 1630188]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-01-23T01:11:10.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,80.3712220762155,42.8921568627451,1610612750,2,0,2026-01-23T01:11:17Z,70000,False,-36.0,132.0,1,right,A. Edwards 13' pullup Jump Shot (2 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,13.67,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M13.00S,2026-01-23T01:11:38.4Z,1,REGULAR,turnover,lost ball,[],1629632,,,1610612741,2,0,2026-01-23T01:11:41Z,80000,False,,,0,,C. White lost ball TURNOVER (1 TO),"[1629632, 1628978]",1610612741.0,CHI,,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,DiVincenzo,1628978.0,,,,,,,,,,,,,,
9,PT11M13.00S,2026-01-23T01:11:38.4Z,1,REGULAR,steal,,[],1628978,,,1610612750,2,0,2026-01-23T01:11:39Z,90000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2026-01-23T01:11:44.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1630162,87.46714848883047,72.05882352941177,1610612750,4,0,2026-01-23T01:13:18Z,100000,False,110.0,65.0,1,right,A. Edwards 12' running pullup Jump Shot (4 PTS) (D. DiVincenzo 1 AST),"[1630162, 1628978]",1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,12.82,Made,4.0,,,,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,
12,PT11M09.00S,2026-01-23T01:11:49.8Z,1,REGULAR,foul,personal,['1freethrow'],1630188,,,1610612750,4,0,2026-01-23T01:12:00Z,120000,False,,,0,,J. Smith shooting personal FOUL (1 PF) (Edwards 1 FT),"[1630188, 1630162]",1610612741.0,CHI,shooting,,,Smith,J. Smith,,,,,Mid-Range,8-16 Right,,,,,,,,,,203593.0,1.0,0.0,Edwards,1630162.0,,,,,,
14,PT11M09.00S,2026-01-23T01:12:12.1Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630162,,,1610612750,5,0,2026-01-23T01:12:12Z,140000,False,,,0,,A. Edwards Free Throw 1 of 1 (5 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2026-01-23T01:12:33.1Z,1,REGULAR,foul,personal,[],1630162,,,1610612741,5,0,2026-01-23T01:12:42Z,150000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1630171]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,,,,,,,,,,203593.0,1.0,0.0,Okoro,1630171.0,,,,,,
17,PT10M47.00S,2026-01-23T01:12:58.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,6.964520367936925,44.95634191176471,1610612741,5,0,2026-01-23T01:14:55Z,170000,False,25.0,13.0,1,left,MISS J. Smith driving Layup,[1630188],1610612741.0,CHI,driving,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,2.84,Missed,,,,,,,,,,,,,,,,,,
18,PT10M45.00S,2026-01-23T01:13:00.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,5,0,2026-01-23T01:13:32Z,180000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,
19,PT10M39.00S,2026-01-23T01:13:05.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203944,93.24901445466492,95.83333333333334,1610612750,8,0,2026-01-23T01:15:53Z,190000,False,229.0,11.0,1,right,J. Randle 3PT running (3 PTS) (J. McDaniels 1 AST),"[203944, 1630183]",1610612750.0,MIN,running,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,22.95,Made,3.0,,,,J. McDaniels,1630183.0,1.0,,,,,,,,,,,
21,PT10M25.00S,2026-01-23T01:13:18.1Z,1,REGULAR,3pt,Jump Shot,[],1629632,31.225361366622867,36.27450980392157,1610612741,8,3,2026-01-23T01:13:24Z,210000,False,69.0,241.0,1,left,C. White 25' 3PT  (3 PTS) (N. Vučević 1 AST),"[1629632, 202696]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Center,25.06,Made,3.0,,,,N. Vučević,202696.0,1.0,,,,,,,,,,,
24,PT10M08.00S,2026-01-23T01:13:49.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,82.47371879106439,50.0,1610612750,8,3,2026-01-23T01:16:49Z,240000,False,0.0,112.0,1,right,MISS J. McDaniels 11' fadeaway Shot,[1630183],1610612750.0,MIN,fadeaway,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,11.22,Missed,,,,,,,,,,,,,,,,,,
25,PT10M06.00S,2026-01-23T01:13:51.2Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,8,3,2026-01-23T01:13:54Z,250000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,24.0,2.0,1.0,1.0,,
26,PT10M05.00S,2026-01-23T01:13:52.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,92.59198423127464,51.71568627450981,1610612750,8,3,2026-01-23T01:13:56Z,260000,False,9.0,17.0,1,right,MISS R. Gobert putback Layup,[203497],1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.91,Missed,,,,,,,,,,,,,,,,,,
27,PT10M05.00S,2026-01-23T01:13:52.6Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,8,3,2026-01-23T01:13:56Z,270000,False,,,0,,R. Gobert REBOUND (Off:2 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,26.0,3.0,1.0,2.0,,
28,PT09M59.00S,2026-01-23T01:13:59.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,67.23061760840999,50.49019607843137,1610612750,11,3,2026-01-23T01:14:06Z,280000,False,2.0,256.0,1,right,J. Randle 25' 3PT  (6 PTS) (R. Gobert 1 AST),"[203944, 203497]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,25.55,Made,6.0,,,,R. Gobert,203497.0,1.0,,,,,,,,,,,
30,PT09M55.00S,2026-01-23T01:14:08.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,11,3,2026-01-23T01:14:08Z,300000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M45.00S,2026-01-23T01:17:11.4Z,1,REGULAR,3pt,Jump Shot,[],1629632,30.962549277266753,36.51960784313725,1610612741,11,3,2026-01-23T01:17:18Z,310000,False,67.0,239.0,1,left,MISS C. White 24' step back 3PT,[1629632],1610612741.0,CHI,step back,,,White,C. White,,,,,Above the Break 3,24+ Center,24.78,Missed,,,,,,,,,,,,,,,,,,
32,PT09M43.00S,2026-01-23T01:17:16.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,11,3,2026-01-23T01:17:16Z,320000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,31.0,,,,,
34,PT09M40.00S,2026-01-23T01:17:30.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202696,22.158344283837057,12.009803921568627,1610612741,11,3,2026-01-23T01:17:35Z,340000,False,190.0,156.0,1,left,MISS N. Vučević 24' 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Right Center,24.57,Missed,,,,,,,,,,,,,,,,,,
35,PT09M38.00S,2026-01-23T01:17:32.7Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,11,3,2026-01-23T01:17:35Z,350000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,
36,PT09M21.00S,2026-01-23T01:17:50.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,85.62746386333771,52.69607843137255,1610612750,11,3,2026-01-23T01:18:37Z,360000,False,13.0,83.0,1,right,MISS A. Edwards 8' driving floating Shot,[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,8.37,Missed,,,,,,,,,,,,,,,,,,
37,PT09M19.00S,2026-01-23T01:17:52.8Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,11,3,2026-01-23T01:19:36Z,370000,False,,,0,,A. Edwards REBOUND (Off:1 Def:0),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,36.0,1.0,0.0,1.0,,
38,PT09M16.00S,2026-01-23T01:17:54.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630162,76.16622864651774,68.13725490196079,1610612750,11,3,2026-01-23T01:17:59Z,380000,False,91.0,172.0,1,right,MISS A. Edwards 19' Jump Shot,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right Center,19.4,Missed,,,,,,,,,,,,,,,,,,
39,PT09M16.00S,2026-01-23T01:17:54.6Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,11,3,2026-01-23T01:17:59Z,390000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,
40,PT09M10.00S,2026-01-23T01:18:01.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641824,7.966491458607096,46.568627450980394,1610612741,11,3,2026-01-23T01:18:08Z,400000,False,17.0,22.0,1,left,MISS M. Buzelis running Layup - blocked,"[1641824, 1630162]",1610612741.0,CHI,running,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,2.82,Missed,,,,,,,,,,,,,,,,,Edwards,1630162.0
41,PT09M10.00S,2026-01-23T01:18:01.6Z,1,REGULAR,block,,[],1630162,,,1610612741,11,3,2026-01-23T01:18:03Z,410000,False,,,0,,A. Edwards BLOCK (1 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT09M07.00S,2026-01-23T01:18:04.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,11,3,2026-01-23T01:18:08Z,420000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,
43,PT09M03.00S,2026-01-23T01:18:08.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203944,92.06636005256242,47.30392156862745,1610612750,11,3,2026-01-23T01:18:13Z,430000,False,-13.0,22.0,1,right,MISS J. Randle running Layup,[203944],1610612750.0,MIN,running,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.59,Missed,,,,,,,,,,,,,,,,,,
45,PT09M01.00S,2026-01-23T01:18:10.4Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,11,3,2026-01-23T01:18:13Z,450000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:2),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,43.0,2.0,2.0,0.0,,
46,PT08M58.00S,2026-01-23T01:18:15.5Z,1,REGULAR,foul,personal,[],1628978,,,1610612741,11,3,2026-01-23T01:18:27Z,460000,False,,,0,,D. DiVincenzo personal FOUL (1 PF),"[1628978, 1629632]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1201.0,1.0,0.0,White,1629632.0,,,,,,
48,PT08M45.00S,2026-01-23T01:18:47.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629632,8.278580814717477,57.13082107843137,1610612741,11,3,2026-01-23T01:21:33Z,480000,False,-36.0,25.0,1,left,MISS C. White driving bank Hook,[1629632],1610612741.0,CHI,driving bank,,,White,C. White,,,,,In The Paint (Non-RA),0-8 Center,4.38,Missed,,,,,,,,,,,,,,,,,,
49,PT08M44.00S,2026-01-23T01:18:48.3Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,11,3,2026-01-23T01:18:52Z,490000,False,,,0,,A. Edwards REBOUND (Off:1 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,48.0,2.0,1.0,1.0,,
50,PT08M39.00S,2026-01-23T01:18:54.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630183,82.60512483574244,41.42156862745098,1610612750,13,3,2026-01-23T01:22:16Z,500000,False,-43.0,111.0,1,right,J. McDaniels 11' running pullup Jump Shot (2 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,running pullup,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,11.9,Made,2.0,,,,A. Edwards,1630162.0,1.0,,,,,,,,,,,
52,PT08M12.00S,2026-01-23T01:19:22.7Z,1,REGULAR,foul,personal,['3freethrow'],1630162,,,1610612741,13,3,2026-01-23T01:19:31Z,520000,False,,,0,,A. Edwards shooting personal FOUL (2 PF) (White 3 FT),"[1630162, 1629632]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,,,,,,204059.0,2.0,0.0,White,1629632.0,,,,,,
54,PT08M12.00S,2026-01-23T01:19:57.9Z,1,REGULAR,freethrow,1 of 3,[],1629632,,,1610612741,13,4,2026-01-23T01:19:57Z,540000,False,,,0,,C. White Free Throw 1 of 3 (4 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
55,PT08M12.00S,2026-01-23T01:20:16.0Z,1,REGULAR,freethrow,2 of 3,[],1629632,,,1610612741,13,4,2026-01-23T01:20:16Z,550000,False,,,0,,MISS C. White Free Throw 2 of 3,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
56,PT08M12.00S,2026-01-23T01:20:16.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,13,4,2026-01-23T01:20:16Z,560000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,
57,PT08M12.00S,2026-01-23T01:20:16.6Z,1,REGULAR,substitution,out,[],1630162,,,1610612741,13,4,2026-01-23T01:20:26Z,570000,False,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT08M12.00S,2026-01-23T01:20:16.6Z,1,REGULAR,substitution,out,[],202696,,,1610612741,13,4,2026-01-23T01:20:26Z,580000,False,,,0,,SUB out: N. Vučević,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT08M12.00S,2026-01-23T01:20:16.6Z,1,REGULAR,substitution,in,[],1630538,,,1610612741,13,4,2026-01-23T01:20:26Z,590000,False,,,0,,SUB in: B. Hyland,[1630538],1610612750.0,MIN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT08M12.00S,2026-01-23T01:20:16.6Z,1,REGULAR,substitution,in,[],1630245,,,1610612741,13,4,2026-01-23T01:20:26Z,600000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT08M12.00S,2026-01-23T01:20:37.0Z,1,REGULAR,freethrow,3 of 3,[],1629632,,,1610612741,13,5,2026-01-23T01:20:37Z,610000,False,,,0,,C. White Free Throw 3 of 3 (5 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
62,PT07M54.00S,2026-01-23T01:20:57.7Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612750,13,5,2026-01-23T01:21:01Z,620000,False,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 1630188]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,1.0,Smith,1630188.0,,,,,,,,,,,,,,
63,PT07M54.00S,2026-01-23T01:20:57.7Z,1,REGULAR,steal,,[],1630188,,,1610612741,13,5,2026-01-23T01:20:59Z,630000,False,,,0,,J. Smith STEAL (1 STL),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT07M46.00S,2026-01-23T01:21:05.6Z,1,REGULAR,turnover,bad pass,[],1630188,,,1610612741,13,5,2026-01-23T01:21:10Z,640000,False,,,0,,J. Smith bad pass TURNOVER (1 TO),"[1630188, 203497]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Gobert,203497.0,,,,,,,,,,,,,,
65,PT07M46.00S,2026-01-23T01:21:05.6Z,1,REGULAR,steal,,[],203497,,,1610612750,13,5,2026-01-23T01:21:08Z,650000,False,,,0,,R. Gobert STEAL (1 STL),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
66,PT07M42.00S,2026-01-23T01:21:10.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630538,73.66951379763469,80.63725490196079,1610612750,13,5,2026-01-23T01:21:16Z,660000,False,153.0,195.0,1,right,MISS B. Hyland 24' running 3PT,[1630538],1610612750.0,MIN,running,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Right Center,24.8,Missed,,,,,,,,,,,,,,,,,,
67,PT07M40.00S,2026-01-23T01:21:12.5Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,13,5,2026-01-23T01:21:30Z,670000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:3),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,66.0,3.0,3.0,0.0,,
68,PT07M31.00S,2026-01-23T01:21:20.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,8.09789750328515,48.529411764705884,1610612741,13,5,2026-01-23T01:21:26Z,680000,False,7.0,24.0,1,left,MISS I. Okoro driving Layup - blocked,"[1630171, 1630183]",1610612741.0,CHI,driving,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,2.47,Missed,,,,,,,,,,,,,,,,,McDaniels,1630183.0
69,PT07M31.00S,2026-01-23T01:21:20.1Z,1,REGULAR,block,,[],1630183,,,1610612741,13,5,2026-01-23T01:21:22Z,690000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
70,PT07M29.00S,2026-01-23T01:21:22.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,13,5,2026-01-23T01:21:26Z,700000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,68.0,2.0,2.0,0.0,,
72,PT07M18.00S,2026-01-23T01:21:49.8Z,1,REGULAR,3pt,Jump Shot,[],203944,76.95466491458606,86.27450980392157,1610612750,13,5,2026-01-23T01:21:53Z,720000,False,181.0,164.0,1,right,MISS J. Randle 24' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,24.46,Missed,,,,,,,,,,,,,,,,,,
73,PT07M16.00S,2026-01-23T01:21:51.8Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,13,5,2026-01-23T01:21:53Z,730000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:4),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,72.0,4.0,4.0,0.0,,
74,PT07M09.00S,2026-01-23T01:21:59.2Z,1,REGULAR,3pt,Jump Shot,[],1630188,29.122864651773984,26.225490196078432,1610612741,13,8,2026-01-23T01:22:04Z,740000,False,119.0,221.0,1,left,J. Smith 25' 3PT  (3 PTS) (M. Buzelis 1 AST),"[1630188, 1641824]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,25.12,Made,3.0,,,,M. Buzelis,1641824.0,1.0,,,,,,,,,,,
76,PT06M52.00S,2026-01-23T01:22:15.7Z,1,REGULAR,3pt,Jump Shot,[],1630538,67.23061760840999,36.51960784313725,1610612750,13,8,2026-01-23T01:22:20Z,760000,False,-67.0,256.0,1,right,MISS B. Hyland 26' 3PT,[1630538],1610612750.0,MIN,,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Center,26.42,Missed,,,,,,,,,,,,,,,,,,
77,PT06M50.00S,2026-01-23T01:22:17.7Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612741,13,8,2026-01-23T01:22:20Z,770000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,76.0,1.0,1.0,0.0,,
